"COD1","COD2","NRODESP","CPBTE","ENTRADA","SALIDAS","STOCK","FECENT","FECUSAL"
"A","81","22001IC05023281X","260922","52","40","12","2022-09-26","2025-02-26"
"A","82","11001IC04199085V","61011","51","51","0.0000","2011-10-11","2011-10-17"
"A","82","16001IC04087468E","80916","105","106","-1","2016-09-12","2017-12-01"
"A","82","17001IC04180892A","80917","104","104","0.0000","2017-09-15","2018-07-24"
"A","82","18001IC04080837W","90418","105","105","0.0000","2018-04-13","2021-05-10"
"A","82","19001IC04015932R","240119","100","100","0.0000","2019-01-28","2023-01-26"
"A","82","19001IC04158500Z","60919","74","74","0.0000","2019-09-11","2024-09-27"
"A","82","20001IC04111282E","200720","76","35","41","2020-07-23","2022-09-21"
"A","82","21001IC04054806N","190321","50","50","0.0000","2021-03-23","2024-01-30"
"A","82","21001IC04161492N","240821","50","50","0.0000","2021-08-30","2023-04-13"
"A","82","21001IC04245806P","131221","50","39","11","2021-12-17","2025-04-29"
"A","82","21001IC05014592M","280621","50","51","-1","2021-06-30","2025-03-19"
"A","82","22001IC04105136H","160522","50","50","0.0000","2022-05-20","2025-02-26"
"A","82","22001IC05023281X","260922","50","18","32","2022-09-26","2024-11-21"
"A","82","23001IC04049866C","280323","60","21","39","2023-03-30","2024-01-31"
"A","82","23001IC04174792W","181023","76","16","60","2023-10-27","2024-07-10"
"A","83","16001IC04087468E","80916","105","106","-1","2016-09-12","2017-11-30"
"A","83","18001IC04080837W","90418","100","100","0.0000","2018-04-13","2019-11-13"
"A","83","19001IC04015932R","240119","100","100","0.0000","2019-01-28","2022-02-17"
"A","83","19001IC04158500Z","60919","73","73","0.0000","2019-09-11","2025-03-20"
"A","83","20001IC04192939W","181120","76","75","1","2020-11-24","2024-06-11"
"A","83","21001IC04054806N","190321","52","52","0.0000","2021-03-23","2022-11-29"
"A","83","21001IC04161492N","240821","50","42","8","2021-08-30","2024-12-20"
"A","83","21001IC04245806P","131221","50","13","37","2021-12-17","2023-02-22"
"A","83","21001IC05014592M","280621","50","5","45","2021-06-30","2024-06-26"
"A","83","22001IC04105136H","160522","50","3","47","2022-05-20","2024-01-30"
"A","83","22001IC05023281X","260922","50","22","28","2022-09-26","2024-09-27"
"A","84","16001IC04087468E","80916","105","107","-2","2016-09-12","2017-08-25"
"A","84","17001IC04180892A","80917","105","105","0.0000","2017-09-15","2019-02-06"
"A","84","18001IC04080837W","90418","112","112","0.0000","2018-04-13","2021-02-25"
"A","84","19001IC04015932R","240119","98","99","-1","2019-01-28","2022-01-20"
"A","84","19001IC04158500Z","60919","74","76","-2","2019-09-11","2022-09-30"
"A","84","20001IC04111282E","200720","76","76","0.0000","2020-07-23","2025-02-11"
"A","84","21001IC04054806N","190321","50","51","-1","2021-03-23","2025-02-11"
"A","84","21001IC04161492N","240821","50","49","1","2021-08-30","2024-10-16"
"A","84","21001IC04245806P","131221","50","50","0.0000","2021-12-17","2025-01-21"
"A","84","21001IC05014592M","280621","50","49","1","2021-06-30","2024-07-23"
