"FECHA","FACA","FACB","FACC","NCA","NCB","NCC","NDA","NDB","NDC","MOSTA","MOSTB","MOSTC","NCMOSTA","NCMOSTB","NCMOSTC","UNIDA","UNIDB","UNIDC","DEV","MOSTDEV","UNMOSTA","UNMOSTB","UNMOSTC","PVTA","PCOS","PESP","PESPA","PESPB","PESPC","PESPMOSTA","PESPMOSTB","PESPMOSTC","EXPA","EXPB","NCEXPA","NCEXPB","PESPEXPA","PESPEXPB","UNEXPA","UNEXPB","UNEXPC","EXPDEV","ACUCPRAS","USUARIO","FACTUAL"
"2010-04-08","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","494","0","0","0","0","0","0","0","15083.5076","0.0000","15083.5076","15083.5076","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-08"
"2010-04-09","18","0","0","1","0","0","0","0","0","0","0","0","0","0","0","387","0","0","0","0","0","0","0","25674.9945","0.0000","25674.9945","25674.9945","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-09"
"2010-04-12","20","0","0","3","0","0","0","0","0","0","0","0","0","0","0","699","0","0","0","0","0","0","0","19752.0375","0.0000","19752.0375","19752.0375","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-12"
"2010-04-13","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","648","0","0","0","0","0","0","0","17776.7426","0.0000","17776.7426","17776.7426","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-13"
"2010-04-14","14","0","0","2","0","0","0","0","0","0","0","0","0","0","0","426","0","0","0","0","0","0","0","14897.3755","0.0000","14897.3755","14897.3755","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-14"
"2010-04-15","17","0","0","2","0","0","0","0","0","0","0","0","0","0","0","648","0","0","0","0","0","0","0","27150.9601","0.0000","27150.9601","27150.9601","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-15"
"2010-04-16","14","0","0","5","0","0","0","0","0","0","0","0","0","0","0","337","0","0","0","0","0","0","0","12694.7562","0.0000","12694.7562","12694.7562","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-16"
"2010-04-17","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","257.517","0.0000","257.517","257.517","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-17"
"2010-04-19","17","0","0","3","0","0","0","0","0","0","0","0","0","0","0","668","0","0","0","0","0","0","0","26628.6851","0.0000","26628.6851","26628.6851","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-19"
"2010-04-20","14","0","0","0","0","0","1","0","0","0","0","0","0","0","0","182","0","0","0","0","0","0","0","51915.2419","0.0000","51915.2419","51915.2419","0.0000","0.0000","0.0000","0.0000","0.0000","0","0","0","0","0.0000","0.0000","0","0","0","0","0.0000","      ","2010-04-20"
