"CTAB","COD","DESCRI","ALF1","ALF2","ALF3","ALF4","ALF5","ALF6","ALF7","ALF8","NUMSD1","NUMSD2","NUMSD3","NUMCD1","NUMCD2","NUMCD3","FECHA1","FECHA2","MCA1","MCA2","MCA3","USUARIO","FECACT"
"ZN   ","23        ","ELIO ALLEVATO","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2008-06-20"
"CV   ","13        ","VAL. 30/60/90/120","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2008-07-23"
"CV   ","21        ","50% CONTRA O/COMPRA 50% AL DESPACHAR","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2012-08-07"
"CV   ","22        ","50%CON O/COMPRA 50% CH30/60 DS C/ENTREGA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2013-03-11"
"CV   ","23        ","CHEQUES 30/60/90 DIAS","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2014-02-03"
"CV   ","24        ","ANTICIPO 100 % CHEQUE PROPIO","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2014-03-27"
"CV   ","25        ","AD50%CH30/60/90/120 RES CH30/60/90/120","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2014-09-09"
"CV   ","26        ","30% SEÑA, RESTO CH.30/60 C/ENTREGA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2014-10-09"
"VD   ","26        ","CENTRAL","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2014-11-03"
"ZN   ","26        ","CENTRAL","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2014-11-03"
"CV   ","27        ","CHEQUE PAGO DIFERIDO 90 DS FF CONTRA ENTREGA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2015-03-12"
"CV   ","28        ","50 % ANTICIPO CPD15 FF-SALDO C/CPD 7 FF","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2022-07-27"
"CV   ","30        ","50% ANTICIPADO-SALDO CONTRAENTREGA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2015-04-01"
"VD   ","27        ","LUQUE JOSE MARIA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2015-04-01"
"ZN   ","27        ","LUQUE JOSE MARIA","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2015-04-01"
"CV   ","31        ","CONTRAENTREGA CH.30/60/90","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2015-08-04"
"VD   ","28        ","LUQUE GIMENEZ","     ","     ","     ","     ","     ","     ","     ","     ","28","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2016-04-25"
"ZN   ","28        ","LUQUE GIMENEZ","     ","     ","     ","     ","     ","     ","     ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","0","0","0","          ","2016-04-25"
"SC   ","MPUL      ","MANG.PULVER.PVC","NRO  ","     ","     ","     ","     ","     ","UNID ","     ","0","0","0","0.0000","0.0000","0.0000","1990-01-01","1990-01-01","1","1","0","          ","2016-08-17"
